n;T1;T2;T4;T6;T8;T10;T12;T14;T16;T18;T20;T2(red);T4(red);T6(red);T8(red);T10(red);T12(red);T14(red);T16(red);T18(red);T20(red)
688;0.000644540;0.000417440;0.000229820;0.000193800;0.000222840;0.000202480;0.000221840;0.000225860;0.000226420;0.000233140;0.000235580;0.000365300;0.000234400;0.000196100;0.000224180;0.000201120;0.000214380;0.000266520;0.000231080;0.000232000;0.000233400
689;0.000652720;0.000366240;0.000228500;0.000239360;0.000235960;0.000207620;0.000206300;0.000234480;0.000226660;0.000238720;0.000249300;0.000376540;0.000247660;0.000171500;0.000228300;0.000200380;0.000202900;0.000238120;0.000251740;0.000239040;0.000225860
690;0.000644160;0.000364980;0.000262620;0.000240240;0.000228440;0.000202520;0.000206040;0.000237440;0.000237140;0.000243220;0.000234940;0.000366120;0.000238020;0.000195640;0.000231500;0.000205520;0.000212280;0.000242080;0.000231940;0.000235580;0.000233240
691;0.000657460;0.000436900;0.000244220;0.000192520;0.000225340;0.000199060;0.000204220;0.000261100;0.000257960;0.000243620;0.000230680;0.000367760;0.000255380;0.000187160;0.000229340;0.000201960;0.000208800;0.000234560;0.000224520;0.000237180;0.000223380
692;0.000642120;0.000400480;0.000239320;0.000224280;0.000219340;0.000203800;0.000220660;0.000225740;0.000230140;0.000241760;0.000234140;0.000366220;0.000235380;0.000196640;0.000226120;0.000206460;0.000278020;0.000231900;0.000246640;0.000241400;0.000236140
693;0.000661300;0.000410980;0.000251160;0.000242820;0.000220080;0.000207080;0.000210120;0.000232640;0.000229880;0.000244980;0.000251160;0.000383620;0.000246120;0.000201640;0.000231660;0.000209760;0.000199140;0.000236940;0.000222560;0.000241760;0.000232500
694;0.000654580;0.000432160;0.000220960;0.000193860;0.000226080;0.000204860;0.000204920;0.000249200;0.000257020;0.000247020;0.000241580;0.000378580;0.000271100;0.000211720;0.000226880;0.000199060;0.000200720;0.000244980;0.000240960;0.000236200;0.000230680
695;0.000661300;0.000371660;0.000249640;0.000222460;0.000223400;0.000218540;0.000202440;0.000246720;0.000236280;0.000239160;0.000246760;0.000374620;0.000236660;0.000223920;0.000229760;0.000200660;0.000212040;0.000235780;0.000242300;0.000246320;0.000227380
696;0.000663400;0.000420840;0.000251080;0.000219020;0.000226900;0.000307800;0.000606400;0.000241400;0.000241980;0.000244840;0.000240200;0.000382060;0.000252520;0.000216660;0.000230700;0.000203540;0.000219360;0.000240060;0.000251080;0.000239540;0.000228740
697;0.000660860;0.000422060;0.000249540;0.000194940;0.000247860;0.000216120;0.000213360;0.000228540;0.000228160;0.000251980;0.000244860;0.000377320;0.000240560;0.000202920;0.000230980;0.000210340;0.000217460;0.000253060;0.000236140;0.000245540;0.000232180
698;0.000666460;0.000413760;0.000270740;0.000212860;0.000234440;0.000205720;0.000211440;0.000237500;0.000248260;0.000246620;0.000240940;0.000391020;0.000269680;0.000203460;0.000238420;0.000205640;0.000213800;0.000248440;0.000258660;0.000248420;0.000237760
699;0.000665820;0.000394220;0.000259320;0.000218720;0.000226200;0.000211080;0.000221160;0.000240360;0.000239620;0.000250120;0.000234680;0.000378020;0.000254940;0.000215140;0.000230460;0.000203860;0.000220860;0.000245000;0.000249040;0.000289940;0.000229820
700;0.000661460;0.000416360;0.000241380;0.000192640;0.000227880;0.000203540;0.000216620;0.000251720;0.000254260;0.000245940;0.000242720;0.000390820;0.000266060;0.000203860;0.000232680;0.000210340;0.000209680;0.000241460;0.000247480;0.000239620;0.000237180
701;0.000660680;0.000400340;0.000257100;0.000212140;0.000224340;0.000209920;0.000224760;0.000232780;0.000243060;0.000250840;0.000239820;0.000378000;0.000257640;0.000223460;0.000229640;0.000206600;0.000204480;0.000235720;0.000234300;0.000242660;0.000234240
702;0.000659660;0.000400320;0.000233840;0.000235860;0.000228220;0.000200520;0.000230520;0.000235960;0.000247720;0.000246900;0.000233620;0.000376180;0.000263840;0.000194820;0.000231120;0.000208220;0.000209180;0.000261480;0.000235200;0.000236740;0.000230760
703;0.000669960;0.000427120;0.000258800;0.000210580;0.000226820;0.000200520;0.000208300;0.000233260;0.000244400;0.000281360;0.000246620;0.000381940;0.000236640;0.000202120;0.000238740;0.000220940;0.000212000;0.000239120;0.000241040;0.000246340;0.000230520
704;0.000689040;0.000448440;0.000252300;0.000194360;0.000229580;0.000206120;0.000213940;0.000243440;0.000258780;0.000249400;0.000242580;0.000392580;0.000270660;0.000201300;0.000236420;0.000205740;0.000204320;0.000247780;0.000241580;0.000237980;0.000235860
705;0.000672020;0.000400800;0.000242740;0.000206580;0.000232200;0.000219160;0.000220640;0.000242320;0.000238380;0.000248940;0.000250260;0.000391260;0.000254260;0.000199220;0.000236840;0.000209380;0.000224680;0.000258720;0.000261020;0.000245740;0.000239680
706;0.000696580;0.000444600;0.000262060;0.000221320;0.000232780;0.000210440;0.000207600;0.000235340;0.000247120;0.000253360;0.000249020;0.000390680;0.000268180;0.000210860;0.000236060;0.000205860;0.000206820;0.000246620;0.000241400;0.000244280;0.000231620
707;0.000683280;0.000407400;0.000224120;0.000199900;0.000231400;0.000207360;0.000234620;0.000260300;0.000232160;0.000241900;0.000235720;0.000385200;0.000257860;0.000200480;0.000235800;0.000205620;0.000208960;0.000262100;0.000230520;0.000241760;0.000236760
708;0.000713680;0.000422620;0.000252300;0.000229760;0.000224960;0.000216280;0.000212300;0.000234000;0.000240000;0.000240820;0.000255800;0.000397580;0.000265500;0.000204680;0.000231740;0.000208900;0.000208300;0.000236800;0.000230800;0.000237120;0.000244640
709;0.000683600;0.000423840;0.000260120;0.000191240;0.000230140;0.000206480;0.000225800;0.000234280;0.000244400;0.000246560;0.000246640;0.000400580;0.000276900;0.000203940;0.000235860;0.000206760;0.000208900;0.000252820;0.000246220;0.000250860;0.000238080
710;0.000684700;0.000451400;0.000264080;0.000201120;0.000231720;0.000212920;0.000219320;0.000238380;0.000250900;0.000251020;0.000243240;0.000395880;0.000254280;0.000307320;0.000233140;0.000215020;0.000209460;0.000245480;0.000246100;0.000244560;0.000237260
711;0.000673320;0.000436460;0.000282880;0.000195780;0.000231880;0.000204600;0.000203920;0.000244100;0.000239440;0.000254520;0.000253860;0.000401800;0.000278560;0.000264620;0.000236220;0.000209540;0.000209060;0.000238180;0.000237800;0.000253420;0.000240100
712;0.000680220;0.000394140;0.000250800;0.000195340;0.000229940;0.000212120;0.000217780;0.000247580;0.000249400;0.000244220;0.000242180;0.000391760;0.000235220;0.000205800;0.000245060;0.000207320;0.000219120;0.000242740;0.000238240;0.000242940;0.000242200
713;0.000683640;0.000388260;0.000618860;0.000398200;0.000228180;0.000225260;0.000231020;0.000232300;0.000225680;0.000238880;0.000238920;0.000394220;0.000257740;0.000215640;0.000239920;0.000210560;0.000215060;0.000244740;0.000244320;0.000250380;0.000244340
714;0.000715960;0.000404360;0.000264820;0.000212520;0.000236300;0.000215820;0.000214860;0.000255180;0.000248340;0.000265220;0.000262440;0.000407320;0.000276800;0.000267700;0.000244040;0.000216960;0.000210440;0.000246460;0.000240820;0.000255160;0.000251700
715;0.000702700;0.000457080;0.000255000;0.000225800;0.000231840;0.000212000;0.000243980;0.000248060;0.000254680;0.000250620;0.000249280;0.000425440;0.000256080;0.000218280;0.000235560;0.000211960;0.000225980;0.000269540;0.000232280;0.000254160;0.000253800
716;0.000715100;0.000423120;0.000281780;0.000212360;0.000236140;0.000204780;0.000208480;0.000252500;0.000259060;0.000252080;0.000248920;0.000405600;0.000226160;0.000231620;0.000240800;0.000216540;0.000205920;0.000244700;0.000241400;0.000246740;0.000248400
717;0.000707300;0.000398600;0.000244660;0.000208900;0.000237080;0.000215220;0.000228840;0.000248160;0.000239000;0.000252560;0.000252100;0.000407600;0.000285800;0.000245840;0.000236380;0.000211280;0.000220320;0.000248340;0.000239740;0.000243560;0.000234680
718;0.000694780;0.000396540;0.000245780;0.000222760;0.000234740;0.000217300;0.000224300;0.000245240;0.000231900;0.000268820;0.000241380;0.000395220;0.000258720;0.000205360;0.000240220;0.000214000;0.000209660;0.000247920;0.000249020;0.000250700;0.000239020
719;0.000699220;0.000423760;0.000242920;0.000203560;0.000230540;0.000216600;0.000235600;0.000245920;0.000252380;0.000250100;0.000240920;0.000405260;0.000254300;0.000183720;0.000237300;0.000215900;0.000228280;0.000255140;0.000246260;0.000246160;0.000231880
720;0.000686340;0.000463660;0.000262140;0.000215040;0.000239220;0.000228980;0.000232260;0.000246960;0.000248420;0.000254780;0.000245780;0.000399800;0.000260600;0.000201400;0.000240500;0.000209860;0.000219400;0.000263460;0.000261680;0.000251640;0.000247080
721;0.000702400;0.000523180;0.000257860;0.000200420;0.000243660;0.000216460;0.000247380;0.000233960;0.000243340;0.000245620;0.000249780;0.000393660;0.000279360;0.000204940;0.000241560;0.000212540;0.000214020;0.000242060;0.000247580;0.000245780;0.000238800
722;0.000708780;0.000465760;0.000263960;0.000218100;0.000242440;0.000218000;0.000219940;0.000241880;0.000240360;0.000256480;0.000250540;0.000408280;0.000263160;0.000201540;0.000241060;0.000215380;0.000235340;0.000245140;0.000238120;0.000251200;0.000244120
723;0.000703480;0.000433100;0.000251800;0.000226700;0.000239900;0.000207980;0.000230640;0.000247400;0.000240900;0.000261360;0.000244200;0.000404760;0.000246760;0.000216840;0.000240800;0.000214280;0.000219760;0.000245560;0.000239840;0.000254220;0.000242140
724;0.000707220;0.000440260;0.000254780;0.000221340;0.000256860;0.000214900;0.000213700;0.000244020;0.000246080;0.000251300;0.000249940;0.000407480;0.000251580;0.000209600;0.000244820;0.000257340;0.000249900;0.000265500;0.000240340;0.000258180;0.000242020
725;0.000711940;0.000443800;0.000267760;0.000213100;0.000237300;0.000214980;0.000239080;0.000247340;0.000238440;0.000253680;0.000246020;0.000399780;0.000255660;0.000215800;0.000255620;0.000213000;0.000223400;0.000255440;0.000241680;0.000244220;0.000233100
726;0.000720800;0.000453460;0.000298620;0.000219260;0.000234700;0.000220880;0.000236600;0.000244560;0.000264700;0.000250520;0.000248620;0.000405120;0.000288140;0.000216140;0.000243860;0.000211280;0.000219920;0.000251420;0.000252980;0.000255960;0.000253340
727;0.000708940;0.000448980;0.000263620;0.000202760;0.000238940;0.000213300;0.000222880;0.000245200;0.000260860;0.000258720;0.000254740;0.000405340;0.000264140;0.000202200;0.000250820;0.000220620;0.000214220;0.000251020;0.000252360;0.000252960;0.000239780
728;0.000714800;0.000439960;0.000271000;0.000251720;0.000250180;0.000217280;0.000207560;0.000258640;0.000260880;0.000264780;0.000254920;0.000421140;0.000288440;0.000209280;0.000251220;0.000220360;0.000216760;0.000264780;0.000255880;0.000252240;0.000251260
729;0.000730960;0.000433420;0.000942120;0.000204680;0.000235120;0.000214660;0.000245400;0.000247700;0.000241120;0.000253960;0.000252780;0.000404460;0.000260160;0.000236060;0.000241920;0.000214760;0.000226080;0.000255300;0.000260640;0.000262340;0.000238840
730;0.000755980;0.000472100;0.000273980;0.000217720;0.000237680;0.000226940;0.000226560;0.000245620;0.000242100;0.000259600;0.000252180;0.000413240;0.000258460;0.000212140;0.000244760;0.000218080;0.000231320;0.000251240;0.000242360;0.000250740;0.000247280
731;0.000727200;0.000423540;0.000275240;0.000212320;0.000239920;0.000223980;0.000222260;0.000244340;0.000255880;0.000251240;0.000256000;0.000419720;0.000272900;0.000250460;0.000241640;0.000227260;0.000219380;0.000261540;0.000254440;0.000253780;0.000250400
732;0.000754680;0.000467160;0.000233420;0.000233160;0.000242940;0.000225260;0.000253560;0.000267540;0.000246340;0.000258640;0.000255000;0.000413020;0.000254740;0.000209220;0.000242160;0.000218780;0.000223800;0.000250240;0.000258480;0.000262400;0.000244740
733;0.000725360;0.000428860;0.000244000;0.000229180;0.000243700;0.000213860;0.000216960;0.000250600;0.000244440;0.000264020;0.000261740;0.000417100;0.000275860;0.000233760;0.000246460;0.000214260;0.000224060;0.000247140;0.000251380;0.000256240;0.000261260
734;0.000729920;0.000456540;0.000271300;0.000240900;0.000248480;0.000214080;0.000231740;0.000261340;0.000258440;0.000260520;0.000251760;0.000408420;0.000274160;0.000210540;0.000250180;0.000218480;0.000229580;0.000256740;0.000254380;0.000262320;0.000243540
735;0.000727240;0.000450560;0.000279920;0.000208960;0.000242320;0.000228220;0.000235960;0.000256660;0.000245800;0.000268300;0.000254040;0.000414240;0.000261760;0.000214280;0.000246220;0.000221500;0.000222100;0.000268280;0.000260280;0.000259680;0.000243840
736;0.000747620;0.000456820;0.000257420;0.000216000;0.000241180;0.000223820;0.000228640;0.000254780;0.000251040;0.000266320;0.000259460;0.000415380;0.000257660;0.000221680;0.000252260;0.000237940;0.000215660;0.000251140;0.000248420;0.000265620;0.000250640
737;0.000753940;0.000452420;0.000253040;0.000245000;0.000242620;0.000220060;0.000246960;0.000279880;0.000252900;0.000262840;0.000253760;0.000423980;0.000276380;0.000212620;0.000250600;0.000220880;0.000228080;0.000266180;0.000271320;0.000264720;0.000247160
738;0.000737000;0.000434880;0.000283800;0.000212620;0.000246760;0.000219340;0.000227980;0.000253160;0.000272500;0.000263360;0.000250680;0.000422940;0.000281300;0.000226760;0.000247760;0.000219920;0.000233700;0.000261300;0.000251620;0.000265940;0.000246520
739;0.000779620;0.000438980;0.000280960;0.000231640;0.000249440;0.000215340;0.000243340;0.000253240;0.000266020;0.000269020;0.000256780;0.000422560;0.000264680;0.000210800;0.000260100;0.000220800;0.000228100;0.000266240;0.000260660;0.000256860;0.000249400
740;0.000740960;0.000455460;0.000259620;0.000244120;0.000239420;0.000264360;0.000288440;0.000252900;0.000336800;0.002691620;0.000509620;0.000528080;0.000473480;0.000572980;0.000481280;0.000465160;0.000457140;0.000285080;0.000287480;0.000277000;0.000260720
741;0.001032900;0.000474400;0.000336160;0.000321240;0.000298520;0.000234080;0.000293220;0.000272000;0.000278160;0.000282800;0.000268440;0.000436400;0.000273460;0.000245520;0.000257160;0.000228900;0.000223380;0.000267300;0.000271660;0.000286080;0.000250080
742;0.000759980;0.000454860;0.000288660;0.000193420;0.000249340;0.000233280;0.000221280;0.000256540;0.000259280;0.000265780;0.000265260;0.000426820;0.000276720;0.000208020;0.000253380;0.000220020;0.000224360;0.000253660;0.000269520;0.000260640;0.000253280
743;0.000753620;0.000469140;0.000258420;0.000243480;0.000246080;0.000216300;0.000239280;0.000257760;0.000327580;0.000262540;0.000262200;0.000424800;0.000266660;0.000219380;0.000253280;0.000225260;0.000236560;0.000255460;0.000260400;0.000261680;0.000883200
744;0.000730700;0.000413280;0.000260160;0.000216980;0.000244400;0.000252060;0.000283000;0.000260600;0.000251580;0.000260260;0.000252420;0.000426980;0.000277640;0.000233140;0.000254020;0.000228840;0.000225200;0.000260160;0.000246520;0.000265420;0.000263780
745;0.000753760;0.000467540;0.000265340;0.000225640;0.000257620;0.000218280;0.000244600;0.000261820;0.000265460;0.000267180;0.000261040;0.000430520;0.000281440;0.000210020;0.000260640;0.000219200;0.000232080;0.000262800;0.000258840;0.000261300;0.000250940
746;0.000752820;0.000463440;0.000279060;0.000244940;0.000249100;0.000228620;0.000220320;0.000256460;0.000258740;0.000274500;0.000256440;0.000436100;0.000283640;0.000225520;0.000256100;0.000231820;0.000227780;0.000263800;0.000254360;0.000266980;0.000255000
747;0.000757380;0.000459400;0.000281980;0.000258680;0.000252800;0.000216900;0.000229080;0.000259960;0.000259840;0.000272000;0.000257000;0.000437140;0.000268940;0.000221220;0.000312740;0.000227340;0.000269060;0.000263840;0.000262880;0.000265980;0.000263760
748;0.000750120;0.000496340;0.000229800;0.000226580;0.000255560;0.000219240;0.000233760;0.000258300;0.000277260;0.000263640;0.000259280;0.000434000;0.000269260;0.000274200;0.000255120;0.000228440;0.000228300;0.000260100;0.000251800;0.000265960;0.000262580
749;0.000759560;0.000470220;0.000266540;0.000208160;0.000248360;0.000247160;0.000236320;0.000254240;0.000270080;0.000261520;0.000260980;0.000431660;0.000332540;0.000210520;0.000256520;0.000234040;0.000232580;0.000277320;0.000276860;0.000267860;0.000264980
750;0.000762300;0.000461860;0.000278800;0.000215400;0.000251360;0.000223260;0.000248380;0.000280400;0.000248380;0.000261500;0.000267480;0.000445640;0.000284200;0.000317420;0.000256860;0.000242500;0.000292840;0.000274080;0.000277540;0.000268160;0.000259280
751;0.000791520;0.000461060;0.000289380;0.000308960;0.000259860;0.000268760;0.000307900;0.000284340;0.000304400;0.000287700;0.000295160;0.000463640;0.000291200;0.000333800;0.000266600;0.000251480;0.000302340;0.000290260;0.000309160;0.000289960;0.000274440
752;0.000796460;0.000453180;0.000300240;0.000262460;0.000290980;0.000254720;0.000285360;0.000300200;0.000277900;0.000291200;0.000285460;0.000454080;0.000301120;0.000334060;0.000268300;0.000251160;0.000294540;0.000322200;0.000297020;0.000282740;0.000283100
753;0.000805620;0.000461200;0.000284320;0.000324900;0.000265660;0.000253420;0.000295360;0.000286320;0.000307720;0.000292800;0.000278600;0.000479080;0.000304400;0.000332080;0.000272940;0.000254680;0.000292820;0.000281320;0.000293800;0.000286480;0.000289080
754;0.000827480;0.000472900;0.000300060;0.000332880;0.000266640;0.000263280;0.000288400;0.000288780;0.000310180;0.000292940;0.000284520;0.000464700;0.000297960;0.000334560;0.000268720;0.000259780;0.000295760;0.000323980;0.000306920;0.000286080;0.000279000
755;0.000810000;0.000452440;0.000282880;0.000298340;0.000284600;0.000238360;0.000289020;0.000285060;0.000303420;0.000288340;0.000286640;0.000473120;0.000310680;0.000334420;0.000265540;0.000248780;0.000292600;0.000296980;0.000285680;0.000285620;0.000290140
756;0.000820500;0.000460460;0.000298140;0.000316480;0.000272040;0.000255860;0.000293400;0.000288100;0.000316260;0.000291580;0.000304640;0.000473340;0.000298460;0.000302740;0.000279980;0.000258840;0.000286900;0.000295800;0.000293560;0.000291220;0.000272360
757;0.000833960;0.000457520;0.000293740;0.000302080;0.000273120;0.000244800;0.000311120;0.000289840;0.000293880;0.000291700;0.000284340;0.000469240;0.000311980;0.000336640;0.000274820;0.000263320;0.000292640;0.000296980;0.000306140;0.000287040;0.000299460
758;0.000809740;0.000461080;0.000430680;0.000492660;0.000264340;0.000260280;0.000286980;0.000282300;0.000307300;0.000296880;0.000285260;0.000471340;0.000288020;0.000335580;0.000269720;0.000249620;0.000313020;0.000284360;0.000295940;0.000285900;0.000276480
759;0.000848600;0.000458340;0.000287600;0.000333200;0.000284480;0.000257420;0.000279000;0.000295540;0.000301540;0.000302180;0.000288860;0.000482220;0.000286360;0.000320720;0.000272420;0.000251820;0.000298020;0.000297440;0.000368220;0.000283800;0.000297200
760;0.000822200;0.000528540;0.000404840;0.000405780;0.000272820;0.000261580;0.000274380;0.000299880;0.000302340;0.000282440;0.000298500;0.000458520;0.000284940;0.000321720;0.000289640;0.000243020;0.000309800;0.000282420;0.000302500;0.000290440;0.000272240
761;0.000821240;0.000464780;0.000287940;0.000336780;0.000280860;0.000262500;0.000295500;0.000309780;0.000295360;0.000299340;0.000283880;0.000471520;0.000274600;0.000287660;0.000270880;0.000238200;0.000288440;0.000290900;0.000305020;0.000284100;0.000299960
762;0.000804040;0.000446900;0.000302700;0.000231800;0.000258100;0.000228500;0.000225780;0.000279580;0.000251100;0.000275660;0.000270740;0.000453560;0.000321580;0.000224680;0.000268280;0.000236180;0.000233980;0.000276680;0.000282920;0.000315820;0.000271560
763;0.000806720;0.000494760;0.000288160;0.000228880;0.000260380;0.000230380;0.000291860;0.000279540;0.000293360;0.000282280;0.000271720;0.000481720;0.000318780;0.000235420;0.000262700;0.000245480;0.000255980;0.000268100;0.000253060;0.000269320;0.000265100
764;0.000798520;0.000481680;0.000269080;0.000237120;0.000253500;0.000229820;0.000273220;0.000261920;0.000262820;0.000277960;0.000268740;0.000449520;0.000305740;0.000216440;0.000261600;0.000230460;0.000244760;0.000272180;0.000270820;0.000273740;0.000269460
765;0.000828080;0.000443900;0.000270540;0.000221220;0.000260000;0.000238460;0.000254620;0.000266660;0.000253020;0.000278800;0.000270800;0.000454380;0.000294760;0.000237220;0.000262360;0.000227180;0.000235900;0.000286320;0.000275100;0.000264500;0.000257340
766;0.000804300;0.000458600;0.000305160;0.000226660;0.000259580;0.000240620;0.000240280;0.000273520;0.000269980;0.000295580;0.000275240;0.000461700;0.000294960;0.000244540;0.000267660;0.000232120;0.000232800;0.000281020;0.000274260;0.000271060;0.000269560
767;0.000794100;0.000443500;0.000321340;0.000214920;0.000262140;0.000231220;0.000251940;0.000267640;0.000253460;0.000280020;0.000272420;0.000454400;0.000310240;0.000215120;0.000265520;0.000234900;0.000235760;0.000280260;0.000256200;0.000269880;0.000273200
768;0.000804300;0.000496420;0.000296500;0.000254280;0.000264080;0.000239060;0.000238500;0.000269520;0.000267700;0.000275440;0.000267240;0.000454820;0.000312940;0.000220140;0.000268560;0.000232140;0.000236700;0.000266300;0.000281540;0.000277400;0.000266240
769;0.000794720;0.000511480;0.000296780;0.000215820;0.000262380;0.000255480;0.000284720;0.000270600;0.000269780;0.000278080;0.000266840;0.000467660;0.000298560;0.000218180;0.000263860;0.000237260;0.000255420;0.000270560;0.000253020;0.000266500;0.000265640
770;0.000828420;0.000452420;0.000311300;0.000208000;0.000262020;0.000236300;0.000258140;0.000273400;0.000268680;0.000269800;0.000271600;0.000454200;0.000290540;0.000247520;0.000264520;0.000236640;0.000238620;0.000275240;0.000278940;0.000280980;0.000259640
771;0.000816280;0.000485980;0.000317460;0.000221140;0.000262580;0.000238020;0.000228520;0.000284220;0.000256140;0.000270540;0.000274660;0.000449360;0.000317180;0.000214420;0.000266220;0.000234880;0.000241800;0.000290160;0.000277680;0.000277740;0.000260400
772;0.000821680;0.000500420;0.000279460;0.000247060;0.000257720;0.000370780;0.000692960;0.000270540;0.000258540;0.000277520;0.000271160;0.000453720;0.000294780;0.000218300;0.000273360;0.000230480;0.000243920;0.000287180;0.000269180;0.000277680;0.000261500
773;0.000829380;0.000508740;0.000267580;0.000232860;0.000257920;0.000245680;0.000242040;0.000267040;0.000265260;0.000277760;0.000263280;0.000459260;0.000313720;0.000225100;0.000261700;0.000230000;0.000247560;0.000265880;0.000267740;0.000274420;0.000263620
774;0.000802280;0.000444600;0.000298580;0.000221800;0.000267280;0.000244520;0.000222380;0.000264060;0.000269940;0.000283660;0.000277720;0.000458460;0.000302180;0.000216660;0.000273820;0.000237740;0.000238860;0.000264980;0.000283440;0.000277280;0.000265920
775;0.000810560;0.000460480;0.000299260;0.000237240;0.000270060;0.000250700;0.000235020;0.000264660;0.000283260;0.000342980;0.000274300;0.000452200;0.000293840;0.000226380;0.000268840;0.000230480;0.000238860;0.000267020;0.000268000;0.000282860;0.000267060
776;0.000805920;0.000479060;0.000294100;0.000244540;0.000270740;0.000261520;0.000247020;0.000269060;0.000270100;0.000277640;0.000277760;0.000457760;0.000308680;0.000230720;0.000276140;0.000238660;0.000242940;0.000263220;0.000295260;0.000276440;0.000263080
777;0.000806660;0.000459740;0.000306660;0.000273500;0.000271960;0.000249900;0.000251500;0.000264660;0.000280440;0.000282620;0.000282460;0.000470220;0.000273240;0.000363920;0.000270420;0.000234940;0.000241700;0.000264600;0.000258040;0.000278260;0.000261440
778;0.000830100;0.000515620;0.000281140;0.000268820;0.000275960;0.000239220;0.000252260;0.000283380;0.000284120;0.000275860;0.000266300;0.000461000;0.000289740;0.000234700;0.000270960;0.000233520;0.000233080;0.000274600;0.000277340;0.000288000;0.000267600
779;0.000812480;0.000497800;0.000307680;0.000232400;0.000263340;0.000251060;0.000256440;0.000280060;0.000273880;0.000271620;0.000260260;0.000460660;0.000294800;0.000233720;0.000270740;0.000234200;0.000251120;0.000272200;0.000278220;0.000278580;0.000268520
780;0.000827920;0.000478440;0.000327300;0.000291640;0.000272100;0.000234680;0.000240520;0.000268960;0.000273140;0.000274280;0.000269540;0.000461300;0.000297900;0.000242520;0.000267060;0.000237360;0.000244460;0.000288020;0.000282580;0.000279660;0.000265940
781;0.000832940;0.000493040;0.000314260;0.000221560;0.000265620;0.000234380;0.000237900;0.000279100;0.000263500;0.000285140;0.000279460;0.000461020;0.000334380;0.000261820;0.000269620;0.000247720;0.000245980;0.000277440;0.000267960;0.000280820;0.000265240
782;0.000841740;0.000515100;0.000305840;0.000229060;0.000267640;0.000243120;0.000234280;0.000282660;0.000283080;0.000284840;0.000279100;0.000471480;0.000306520;0.000222880;0.000273880;0.000241480;0.000246120;0.000280880;0.000260160;0.000282480;0.000274520
783;0.000838920;0.000466820;0.000291240;0.000235960;0.000270700;0.000238620;0.000246500;0.000277940;0.000280320;0.000275300;0.000281920;0.000478460;0.000294900;0.000238900;0.000274820;0.000236260;0.000251060;0.000283060;0.000298760;0.000281240;0.000268080
784;0.000836160;0.000485280;0.000258960;0.000230180;0.000265920;0.000254320;0.000251960;0.000292040;0.000271840;0.000281540;0.000274020;0.000474940;0.000291040;0.000243920;0.000273360;0.000241520;0.000248400;0.000325280;0.000267560;0.000281220;0.000276100
785;0.000834640;0.000516620;0.000323400;0.000236760;0.000268840;0.000237940;0.000242880;0.000291360;0.000285120;0.000289080;0.000283560;0.000484760;0.000297020;0.000272820;0.000283580;0.000239560;0.000238500;0.000291480;0.000271200;0.000286360;0.000275400
786;0.000848640;0.000481720;0.000294820;0.000243080;0.000269060;0.000248700;0.000233540;0.000274460;0.000292500;0.000279540;0.000280780;0.000526740;0.000297240;0.000247000;0.000271980;0.000237660;0.000233180;0.000275860;0.000270220;0.000281020;0.000286460
787;0.000980260;0.000505740;0.000315160;0.000199460;0.000270580;0.000241340;0.000249720;0.000286020;0.000270260;0.000286200;0.000274940;0.000466380;0.000302240;0.000225260;0.000270660;0.000239840;0.000247240;0.000344180;0.000281960;0.000283040;0.000267160
788;0.000831400;0.000466820;0.000325660;0.000223560;0.000269060;0.000251480;0.000284080;0.000273240;0.000298280;0.000286120;0.000278160;0.000477020;0.000312780;0.000249680;0.000274860;0.000247900;0.000242320;0.000294420;0.000274100;0.000279260;0.000268960
789;0.000856400;0.000516760;0.000311680;0.000229420;0.000270220;0.000243840;0.000251200;0.000286160;0.000257200;0.000283240;0.000277040;0.000480800;0.000285540;0.000240760;0.000274380;0.000243160;0.000236480;0.000276760;0.000262000;0.000281200;0.000266340
790;0.000860760;0.000504600;0.000318840;0.000220480;0.000274880;0.000246540;0.000259620;0.000276000;0.000272460;0.000285940;0.000271620;0.000472400;0.000314640;0.000231960;0.000277380;0.000249220;0.000256980;0.000289940;0.000276120;0.000291740;0.000341080
791;0.000841720;0.000511400;0.000283000;0.000245300;0.000267880;0.000241140;0.000255800;0.000289960;0.000270840;0.000295500;0.000282120;0.000486380;0.000297160;0.000279920;0.000283200;0.000241980;0.000275520;0.000280220;0.000295740;0.000288800;0.000272440
792;0.000849780;0.000520420;0.000315500;0.000269600;0.000267280;0.000265200;0.000255600;0.000274600;0.000290540;0.000283580;0.000282060;0.000494120;0.000273840;0.000233380;0.000277900;0.000247500;0.000247620;0.000278720;0.000270820;0.000288240;0.000290140
793;0.000859660;0.000517620;0.000322920;0.000203360;0.000270580;0.000246400;0.000251460;0.000276660;0.000290740;0.000290560;0.000280380;0.000487500;0.000286720;0.000243300;0.000278040;0.000246220;0.000252140;0.000296720;0.000261600;0.000292280;0.000336440
794;0.000908700;0.000505360;0.000318480;0.000248300;0.000276100;0.000259080;0.000255860;0.000277320;0.000271800;0.000287100;0.000277980;0.000499300;0.000301400;0.000239620;0.000276660;0.000320940;0.000230000;0.000277940;0.000275480;0.000271780;0.000277660
795;0.000851360;0.000511500;0.000315060;0.000229280;0.000270940;0.000249400;0.000246700;0.000281840;0.000257960;0.000286900;0.000285780;0.000492580;0.000291880;0.000260040;0.000280420;0.000243660;0.000243000;0.000283660;0.000297580;0.000286420;0.000275300
